Arabidopsis Centroid	Function	Alyrata	Athaliana	Atrichopoda	Bdistachyon	Cclementina	Cgrandiflora	Cpapaya	Creinhardtii	Crubella	Csativus	Csinensis	CsubellipsoideaC169	Egrandis	Esalsugineum	Fvesca	Gmax	Graimondii	Lusitatissimum	Mdomestica	Mesculenta	Mguttatus	MspRCC299	Mtruncatula	Olucimarinus	Osativa	Ppatens	Ptrichocarpa	Pvulgaris	Rcommunis	Sbicolor	Sitalica	Slycopersicum	Smoellendorffii	Spolyrhiza	Stuberosum	Tcacao	Vcarteri	Vvinifera	Zmays
Athaliana|:|AT5G53390.1	Diacylglycerol O-acyltransferase (EC 2.3.1.20) / Long-chain-alcohol O-fatty-acyltransferase (EC 2.3.1.75)	918418, 920929			Bradi3g18636.2, Bradi2g17077.1, Bradi2g46640.2, Bradi2g51150.1	Ciclev10019739m, Ciclev10015554m, Ciclev10015616m	Cagra.0084s0083.1			Carubv10028646m		orange1.1g039244m, orange1.1g047223m, orange1.1g043679m, orange1.1g012980m		Eucgr.K00371.1, Eucgr.D02376.1, Eucgr.H00015.1	Thhalv10013378m	mrna14839.1-v1.0-hybrid, mrna12867.1-v1.0-hybrid	Glyma.13G295900.1, Glyma.07G000300.1	Gorai.013G045500.1, Gorai.004G114800.1, Gorai.013G132800.1	Lus10030257, Lus10033680, Lus10017721, Lus10027887, Lus10004008	MDP0000294279, MDP0000184929, MDP0000438977, MDP0000186303, MDP0000235068, MDP0000256715	cassava4.1_022684m, cassava4.1_008553m, cassava4.1_009330m, cassava4.1_026440m, cassava4.1_033149m	Migut.F00220.1, Migut.F00218.1, Migut.N01179.1, Migut.K01230.1, Migut.F01524.1		Medtr4g478260.1, Medtr4g078600.1, Medtr4g478280.1, Medtr4g478220.1, Medtr0024s0170.1, Medtr1g008160.1		LOC_Os05g48260.1, LOC_Os01g48874.1, LOC_Os01g56360.1	Phpat.006G099200.1	Potri.001G304600.1, Potri.019G070900.1, Potri.019G071000.1, Potri.T076800.1, Potri.T170200.1	Phvul.011G119700.1, Phvul.002G054200.1, Phvul.008G157700.1	29983.m003172, 29757.m000722	Sobic.009G226600.1, Sobic.006G034200.1, Sobic.002G020000.1, Sobic.003G258000.1	Si021641m, Si000956m, Si026271m, Si029701m, Si026502m	Solyc03g083380.2.1, Solyc10g009430.2.1, Solyc01g107900.2.1	80096, 235299	Spipo0G0072200, Spipo0G0145600	PGSC0003DMP400044894, PGSC0003DMP400016066			GSVIVT01027131001, GSVIVT01027134001, GSVIVT01038705001, GSVIVT01031713001, GSVIVT01027124001, GSVIVT01027138001	
Athaliana|:|AT5G37300.1	Diacylglycerol O-acyltransferase (EC 2.3.1.20) / Long-chain-alcohol O-fatty-acyltransferase (EC 2.3.1.75)	330267					Cagra.3652s0002.1			Carubv10004683m														Medtr4g078413.1, Medtr4g078440.1				Potri.019G071100.1												
Athaliana|:|AT2G46860.1	Inorganic pyrophosphatase (EC 3.6.1.1)	483853				Ciclev10024501m	Cagra.0050s0014.1						19937		Thhalv10001628m		Glyma.18G110900.1	Gorai.004G149200.1	Lus10028320	MDP0000492741, MDP0000214630				Medtr5g020840.2		LOC_Os05g36260.1								172131		PGSC0003DMP400010385		Vocar20003627m		
Athaliana|:|AT1G01050.1	Inorganic pyrophosphatase (EC 3.6.1.1)	878361		evm_27.model.AmTr_v1.0_scaffold00064.86, evm_27.model.AmTr_v1.0_scaffold00102.2, evm_27.model.AmTr_v1.0_scaffold00011.104	Bradi5g27030.1, Bradi3g25880.1, Bradi3g52740.2, Bradi2g24100.1	Ciclev10022171m, Ciclev10024641m	Cagra.1968s0050.1	evm.model.supercontig_6.142, evm.model.supercontig_57.76		Carubv10010288m	Cucsa.209580.1	orange1.1g040461m		Eucgr.E00014.1, Eucgr.D02652.1	Thhalv10028951m, Thhalv10008767m	mrna18598.1-v1.0-hybrid	Glyma.07G048300.1, Glyma.19G261100.1, Glyma.16G017200.1, Glyma.03G262000.1	Gorai.008G132200.1, Gorai.001G150500.1	Lus10005139, Lus10030179, Lus10014292, Lus10025999	MDP0000270303, MDP0000063674	cassava4.1_021019m, cassava4.1_023525m	Migut.L01620.1, Migut.E00718.1, Migut.A01064.1, Migut.H02533.1		Medtr7g118340.1, Medtr8g024050.1		LOC_Os04g59040.1, LOC_Os10g26600.1, LOC_Os02g47600.2, LOC_Os01g64670.1	Phpat.003G070600.1	Potri.014G107100.1, Potri.002G181300.1	Phvul.009G259900.1, Phvul.010G120800.1	30076.m004467	Sobic.001G252900.1, Sobic.004G268000.1, Sobic.009G152600.1, Sobic.006G276700.1	Si002889m, Si023207m, Si018380m, Si037582m, Si023175m	Solyc12g055830.1.1, Solyc08g083370.2.1	167898, 143637	Spipo16G0053800	PGSC0003DMP400008917, PGSC0003DMP400006264, PGSC0003DMP400021621	Thecc1EG005017t1		GSVIVT01018930001, GSVIVT01019697001	GRMZM2G046587_P02, GRMZM2G026470_P01, GRMZM2G061928_P01, GRMZM2G015418_P01, GRMZM2G104918_P01
Athaliana|:|AT3G53620.1	Inorganic pyrophosphatase (EC 3.6.1.1)	485748		evm_27.model.AmTr_v1.0_scaffold00168.9	Bradi2g37340.3, Bradi2g62470.5	Ciclev10012723m	Cagra.0612s0088.1	evm.model.supercontig_188.19	Cre09.g387875.t1.1	Carubv10018002m	Cucsa.065970.1	orange1.1g028755m		Eucgr.A01238.1, Eucgr.K03162.1	Thhalv10010704m	mrna14732.1-v1.0-hybrid, mrna18212.1-v1.0-hybrid	Glyma.03G172700.1, Glyma.19G173600.1, Glyma.10G044700.1, Glyma.13G132400.1	Gorai.009G424300.1, Gorai.006G175500.1	Lus10025311, Lus10024422	MDP0000325733, MDP0000709748	cassava4.1_015707m	Migut.J00366.1		Medtr1g096640.1, Medtr8g077180.1, Medtr1g068810.10		LOC_Os01g74350.1, LOC_Os05g02310.1	Phpat.012G070500.1, Phpat.003G070400.1, Phpat.013G056600.1	Potri.006G082500.1	Phvul.007G158400.1, Phvul.001G170300.1	29999.m000204	Sobic.009G016000.1	Si022898m	Solyc09g010380.2.1, Solyc02g085050.2.1		Spipo6G0070300, Spipo29G0022000, Spipo29G0022300	PGSC0003DMP400015714	Thecc1EG021993t1		GSVIVT01025621001	GRMZM2G137930_P02
Athaliana|:|AT4G01480.1	Inorganic pyrophosphatase (EC 3.6.1.1)	490426					Cagra.23502s0004.1			Carubv10001934m																														
Athaliana|:|AT2G18230.1	Inorganic pyrophosphatase (EC 3.6.1.1)	480728				Ciclev10026346m	Cagra.15722s0002.1			Carubv10014598m	Cucsa.127560.1	orange1.1g027710m		Eucgr.I02418.1	Thhalv10022844m		Glyma.01G172400.1, Glyma.11G070800.1	Gorai.008G066900.1	Lus10041767		cassava4.1_016050m, cassava4.1_016056m							Potri.007G022700.1	Phvul.002G032700.1	29634.m002112							Thecc1EG000347t3			
Athaliana|:|AT5G14800.1	Pyrroline-5-carboxylate reductase (EC 1.5.1.2)	861874		evm_27.model.AmTr_v1.0_scaffold00053.25	Bradi2g60730.1	Ciclev10005607m	Cagra.1036s0074.1	evm.model.supercontig_49.96	Cre03.g154550.t1.1	Carubv10001677m	Cucsa.018280.1	orange1.1g023866m	27071, 39652	Eucgr.K01625.1, Eucgr.K01616.1	Thhalv10014353m	mrna21897.1-v1.0-hybrid	Glyma.03G129100.1, Glyma.19G131500.1	Gorai.001G029600.1	Lus10019103, Lus10034453	MDP0000592732, MDP0000343228, MDP0000304516, MDP0000214072, MDP0000207500, MDP0000133625	cassava4.1_013665m	Migut.K00123.1		Medtr7g090160.1	13156	LOC_Os01g71990.1	Phpat.010G059700.1	Potri.006G042600.1	Phvul.001G124300.1	29941.m000222	Sobic.003G424300.1	Si002357m	Solyc02g068640.2.1	235312	Spipo22G0006600, Spipo2G0000300	PGSC0003DMP400018462	Thecc1EG024404t1	Vocar20000589m	GSVIVT01033588001	GRMZM2G068665_P01
Athaliana|:|AT1G48860.1	5-Enolpyruvylshikimate-3-phosphate synthase (EC 2.5.1.19)	474025																														Si006296m								
Athaliana|:|AT2G45300.1	5-Enolpyruvylshikimate-3-phosphate synthase (EC 2.5.1.19)	483663		evm_27.model.AmTr_v1.0_scaffold00069.12	Bradi1g51660.1	Ciclev10019734m	Cagra.0698s0031.1	evm.model.supercontig_18.106	Cre03.g181300.t1.2	Carubv10023012m	Cucsa.257560.1	orange1.1g010070m	63483, 43409	Eucgr.D02465.1	Thhalv10001404m	mrna03903.1-v1.0-hybrid	Glyma.03G027400.1, Glyma.01G139600.1	Gorai.008G113800.1, Gorai.001G174400.1, Gorai.008G113600.1	Lus10030282, Lus10000788	MDP0000468887, MDP0000164378, MDP0000245749, MDP0000164429, MDP0000296576, MDP0000300497	cassava4.1_005539m, cassava4.1_014303m	Migut.B01621.1		Medtr4g024620.1	43874	LOC_Os06g04280.1	Phpat.023G037800.1, Phpat.020G063100.1	Potri.014G068300.1, Potri.002G146400.1	Phvul.010G082200.1	30174.m008859	Sobic.010G023800.1		Solyc01g091190.2.1, Solyc05g050980.2.1	270937	Spipo1G0088900	PGSC0003DMP400045108, PGSC0003DMP400012429	Thecc1EG005531t1	Vocar20007870m	GSVIVT01027670001, GSVIVT01027673001	GRMZM5G877500_P01
Athaliana|:|AT1G68760.1	Dihydroneopterin triphosphate diphosphatase (EC 3.6.1.n4)	476003		evm_27.model.AmTr_v1.0_scaffold00087.19, evm_27.model.AmTr_v1.0_scaffold00087.18		Ciclev10033020m	Cagra.0613s0004.1		Cre03.g184400.t1.2	Carubv10021956m	Cucsa.280810.1, Cucsa.284040.1			Eucgr.B03066.1	Thhalv10019297m	mrna04464.1-v1.0-hybrid, mrna03893.1-v1.0-hybrid, mrna03898.1-v1.0-hybrid, mrna28472.1-v1.0-hybrid, mrna03899.1-v1.0-hybrid, mrna02449.1-v1.0-hybrid, mrna03897.1-v1.0-hybrid	Glyma.02G118100.1, Glyma.02G130900.1, Glyma.01G090900.1, Glyma.U037000.1, Glyma.02G131100.1, Glyma.02G118300.1	Gorai.013G079300.1	Lus10033325, Lus10034784	MDP0000120175, MDP0000235018, MDP0000305441, MDP0000177497	cassava4.1_018393m	Migut.L01112.1		Medtr5g062660.1	93251		Phpat.020G066200.1	Potri.010G131700.1, Potri.008G114300.1, Potri.008G114400.1	Phvul.003G024900.1	29738.m001023			Solyc03g043860.2.1, Solyc00g128870.2.1		Spipo14G0037000	PGSC0003DMP400052678	Thecc1EG011890t1	Vocar20007900m	GSVIVT01011978001	
Athaliana|:|AT1G24360.1	3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)	489606, 472909		evm_27.model.AmTr_v1.0_scaffold00005.79	Bradi5g07220.1, Bradi3g43850.1, Bradi4g39510.1	Ciclev10032120m	Cagra.2625s0010.1	evm.model.supercontig_43.10	Cre03.g172000.t1.2, Cre07.g315750.t1.2	Carubv10009774m	Cucsa.394850.1	orange1.1g024338m	17992, 33281, 25540	Eucgr.B03460.1, Eucgr.H04666.1	Thhalv10008222m	mrna06391.1-v1.0-hybrid	Glyma.18G009200.1, Glyma.11G248000.1, Glyma.09G143100.1, Glyma.08G102100.1	Gorai.008G164200.1, Gorai.005G171600.1, Gorai.009G333600.1	Lus10036980, Lus10015821	MDP0000171200, MDP0000294430, MDP0000367954	cassava4.1_025652m, cassava4.1_011972m, cassava4.1_011672m	Migut.K00696.1		Medtr3g085740.1	12103	LOC_Os02g30060.1, LOC_Os12g13930.1, LOC_Os04g30760.1	Phpat.019G012000.1, Phpat.018G068100.1	Potri.008G178700.1, Potri.010G056100.1	Phvul.002G176200.1, Phvul.001G259400.1	30147.m013777, 57459.m000014, 29929.m004732	Sobic.008G087300.1, Sobic.004G152800.1, Sobic.006G043700.1	Si024264m, Si014521m, Si014119m, Si006939m, Si019395m	Solyc06g071910.2.1, Solyc00g049920.1.1, Solyc05g014560.2.1	228168	Spipo7G0067500	PGSC0003DMP400026745, PGSC0003DMP400030500, PGSC0003DMP400046835	Thecc1EG010763t1	Vocar20008093m	GSVIVT01008491001, GSVIVT01010352001	GRMZM5G853065_P01, GRMZM2G043602_P01, GRMZM2G141256_P02, GRMZM2G351023_P01, GRMZM2G099696_P01
Athaliana|:|AT4G36220.1	Ferulate-5-hydroxylase (EC 1.14.13.-)	319761, 912358, 912739		evm_27.model.AmTr_v1.0_scaffold00001.452	Bradi3g30590.1, Bradi1g77597.1, Bradi1g36790.1, Bradi1g77740.1	Ciclev10025382m, Ciclev10028122m	Cagra.1383s0079.1, Cagra.4734s0001.1	evm.model.supercontig_150.27, evm.model.supercontig_6.209, evm.model.supercontig_150.26, evm.model.supercontig_6.208		Carubv10004440m, Carubv10007572m	Cucsa.377890.1, Cucsa.043380.1	orange1.1g009497m, orange1.1g010226m		Eucgr.J02393.1, Eucgr.I02371.1	Thhalv10024928m, Thhalv10027317m, Thhalv10022643m	mrna14889.1-v1.0-hybrid, mrna01556.1-v1.0-hybrid	Glyma.11G074100.1, Glyma.16G131200.1, Glyma.19G018300.1, Glyma.01G169200.1	Gorai.007G049600.1, Gorai.011G099800.1, Gorai.013G032800.1, Gorai.007G197700.1	Lus10000326, Lus10022303, Lus10014273, Lus10025975, Lus10041811, Lus10012583, Lus10041511, Lus10034300, Lus10012582, Lus10028361	MDP0000563385, MDP0000750217, MDP0000800322	cassava4.1_024692m, cassava4.1_025966m, cassava4.1_033321m, cassava4.1_029232m	Migut.L00034.1, Migut.N01275.1, Migut.H02485.1		Medtr4g071710.1, Medtr4g471620.1, Medtr8g076290.1, Medtr5g021390.1		LOC_Os03g02180.1, LOC_Os06g24180.1, LOC_Os10g36848.1		Potri.009G123600.1, Potri.005G117500.1, Potri.007G016400.1, Potri.004G161600.1	Phvul.003G259100.1, Phvul.002G111900.1, Phvul.003G259200.1	30131.m007121, 28140.m000100, 28140.m000099, 30131.m007122	Sobic.005G088400.1, Sobic.002G029500.1, Sobic.001G196300.1	Si035174m	Solyc02g084570.2.1		Spipo16G0010200	PGSC0003DMP400006328	Thecc1EG006794t1, Thecc1EG000258t1		GSVIVT01018832001, GSVIVT01024193001, GSVIVT01024186001	AC210173.4_FGP005, GRMZM2G100158_P01
Athaliana|:|AT1G69500.1	Long-chain fatty acid omega-hydroxylase of sporopollenin biosynthesis (EC 1.14.13.-)	476077		evm_27.model.AmTr_v1.0_scaffold00010.522	Bradi1g73796.1	Ciclev10010274m	Cagra.0887s0007.1	evm.model.supercontig_350.7		Carubv10020091m	Cucsa.265700.1	orange1.1g035880m		Eucgr.B03209.1	Thhalv10018405m		Glyma.07G043300.1, Glyma.16G011700.1	Gorai.008G180000.1	Lus10037157, Lus10036772	MDP0000424950	cassava4.1_032400m	Migut.L01270.1		Medtr4g119660.1, Medtr5g019165.1, Medtr5g019140.1		LOC_Os03g07250.1	Phpat.013G083400.1, Phpat.014G093300.1, Phpat.002G040000.1, Phpat.005G049800.1, Phpat.017G089700.1, Phpat.006G054000.1, Phpat.024G068500.1	Potri.008G088900.1	Phvul.010G126900.1	29813.m001518	Sobic.001G491400.1	Si035057m	Solyc01g010900.2.1	5479, 151517, 405166, 111270, 418431, 80855, 113847, 80659, 113735, 432651	Spipo2G0036600	PGSC0003DMP400069225	Thecc1EG011672t2		GSVIVT01019953001	GRMZM2G091822_P01
Athaliana|:|AT2G39020.1	Tyramine N-feruloyltransferase (EC 2.3.1.110)	482921, 855950		evm_27.model.AmTr_v1.0_scaffold00009.55, evm_27.model.AmTr_v1.0_scaffold00088.36	Bradi1g74950.1	Ciclev10032618m	Cagra.6263s0007.1, Cagra.12914s0001.1, Cagra.0716s0019.1	evm.model.supercontig_53.95, evm.TU.contig_31528.1		Carubv10023999m, Carubv10023984m, Carubv10006619m	Cucsa.308450.1, Cucsa.308460.1, Cucsa.308470.1	orange1.1g026503m			Thhalv10017189m	mrna23252.1-v1.0-hybrid, mrna26243.1-v1.0-hybrid	Glyma.02G156700.1, Glyma.10G109000.1	Gorai.009G313000.1	Lus10023533, Lus10040418	MDP0000781028	cassava4.1_033642m, cassava4.1_015314m, cassava4.1_015293m, cassava4.1_015294m	Migut.F01970.1		Medtr1g049370.1		LOC_Os03g05710.1		Potri.008G037700.1, Potri.010G224800.1, Potri.008G037600.1	Phvul.007G239500.1, Phvul.007G240100.1, Phvul.007G239400.1	28507.m000166, 29595.m000277, 35135.m000014	Sobic.007G003800.1, Sobic.001G501600.1	Si028449m, Si035945m, Si040238m	Solyc00g272810.1.1, Solyc08g068690.1.1, Solyc10g084640.1.1, Solyc12g096840.1.1, Solyc08g068720.1.1, Solyc08g068730.1.1		Spipo1G0024700	PGSC0003DMP400019422, PGSC0003DMP400025997, PGSC0003DMP400025998, PGSC0003DMP400026004, PGSC0003DMP400026005, PGSC0003DMP400060037, PGSC0003DMP400025999	Thecc1EG043184t1		GSVIVT01016243001	AC149475.2_FGP007, AC209858.4_FGP004
Athaliana|:|AT5G25450.1	Ubiquinol-cytochrome c reductase complex subunit 7	862945		evm_27.model.AmTr_v1.0_scaffold00068.22	Bradi1g54370.1, Bradi1g04740.1	Ciclev10009887m	Cagra.0701s0004.1	evm.model.supercontig_1755.1	Cre06.g262700.t1.1	Carubv10002241m	Cucsa.310490.1	orange1.1g033311m	30533	Eucgr.C02813.1, Eucgr.C01792.1	Thhalv10005137m	mrna11695.1-v1.0-hybrid	Glyma.14G126300.1, Glyma.17G208000.1	Gorai.013G241600.1, Gorai.013G110700.1	Lus10008081, Lus10013113	MDP0000269746, MDP0000271500, MDP0000516578, MDP0000297587, MDP0000298613, MDP0000174644, MDP0000237359	cassava4.1_019312m, cassava4.1_019318m	Migut.E01481.1, Migut.A00309.1		Medtr1g011880.1	94712	LOC_Os07g10500.1, LOC_Os03g59220.1, LOC_Os08g14860.1	Phpat.025G007100.1, Phpat.010G055800.1, Phpat.006G065800.1	Potri.018G031400.1, Potri.006G250000.1	Phvul.001G121500.1	29848.m004671	Sobic.002G072600.1, Sobic.001G047800.1	Si031473m, Si038036m, Si038032m	Solyc08g067020.2.1	228505	Spipo19G0010800	PGSC0003DMP400050667	Thecc1EG038368t1	Vocar20002888m	GSVIVT01035802001	GRMZM2G318346_P04, GRMZM2G161278_P01
Athaliana|:|AT4G32470.1	Ubiquinol-cytochrome c reductase complex subunit 7	913201					Cagra.2471s0035.1			Carubv10006035m					Thhalv10026575m, Thhalv10023759m																									GRMZM2G170457_P01
Athaliana|:|ATCG00710.1	Photosystem II 10 kDa phosphoprotein (PsbH)	475557, 475609			Bradi5g09700.1, Bradi2g36785.1, Bradi5g09696.1, Bradi1g05744.1, Bradi1g65955.1, Bradi1g05735.1					Carubv10003237m			21085	Eucgr.F03245.1, Eucgr.B01572.1			Glyma.17G186400.1, Glyma.03G065000.1, Glyma.05G092100.1	Gorai.005G110300.1, Gorai.005G164900.1, Gorai.010G031500.1, Gorai.008G286600.1		MDP0000363098		Migut.L00683.1, Migut.H01967.1		Medtr4g051375.1, Medtr2g062930.1		LOC_Os10g21322.1, LOC_Os04g16848.1, LOC_Os06g39704.1, LOC_Os08g15296.1	Phpat.021G018600.1	Potri.013G136900.1, Potri.013G137400.1, Potri.011G113600.1, Potri.019G028200.1, Potri.002G174000.1, Potri.011G074800.1, Potri.009G079300.1			Sobic.008G102300.1, Sobic.K035200.1, Sobic.008G102100.1, Sobic.003G168800.1	Si024102m	Solyc01g007520.2.1	187629	Spipo0G0186500					GRMZM5G831399_P01
Athaliana|:|AT5G08300.1	Succinyl-CoA ligase [ADP-forming] alpha chain (EC 6.2.1.5)	487662					Cagra.1365s0035.1			Carubv10001317m		orange1.1g030169m			Thhalv10013993m, Thhalv10003962m	mrna09172.1-v1.0-hybrid		Gorai.005G211200.1	Lus10010187, Lus10013440, Lus10010186, Lus10017331		cassava4.1_020302m				30915									405593	Spipo1G0045100			Vocar20003411m		
Athaliana|:|AT5G23250.1	Succinyl-CoA ligase [ADP-forming] alpha chain (EC 6.2.1.5)	489184		evm_27.model.AmTr_v1.0_scaffold00029.46	Bradi1g23600.1	Ciclev10032075m, Ciclev10020931m	Cagra.4348s0012.1	evm.model.supercontig_0.123	Cre03.g193850.t1.2	Carubv10001256m	Cucsa.122260.1	orange1.1g019500m	54634	Eucgr.H00643.1, Eucgr.J00864.1	Thhalv10004347m		Glyma.09G164900.1, Glyma.16G213200.1	Gorai.013G069200.1	Lus10017389, Lus10017337, Lus10010185, Lus10040992	MDP0000091064	cassava4.1_034079m, cassava4.1_010959m	Migut.F00794.1, Migut.N00791.1		Medtr6g077820.1		LOC_Os07g38970.1	Phpat.006G026800.1, Phpat.010G029500.1, Phpat.014G029100.1	Potri.005G091400.1, Potri.015G028200.1, Potri.012G036200.1	Phvul.004G139300.1	30189.m001675, 30189.m001676	Sobic.002G352200.1	Si030465m	Solyc02g005350.2.1, Solyc01g007910.2.1			PGSC0003DMP400028711	Thecc1EG007715t1		GSVIVT01029337001, GSVIVT01026227001	GRMZM2G072054_P01, GRMZM2G039251_P01
Athaliana|:|AT1G27450.3	Adenine phosphoribosyltransferase (EC 2.4.2.7)	472949					Cagra.16111s0003.1			Carubv10010115m					Thhalv10008627m					MDP0000895380, MDP0000783511																				
Athaliana|:|AT1G80050.1	Adenine phosphoribosyltransferase (EC 2.4.2.7)	895993			Bradi5g14910.1, Bradi3g48670.1		Cagra.1725s0134.1								Thhalv10019519m										26413	LOC_Os02g40010.4				29841.m002880	Sobic.004G214000.1, Sobic.006G138800.1	Si011051m			Spipo10G0051400					GRMZM2G179810_P03, GRMZM2G071846_P01
Athaliana|:|AT4G22570.1	Adenine phosphoribosyltransferase (EC 2.4.2.7)	492612		evm_27.model.AmTr_v1.0_scaffold00137.50, evm_27.model.AmTr_v1.0_scaffold00086.79	Bradi4g03060.1	Ciclev10002564m, Ciclev10002024m	Cagra.0683s0005.1	evm.model.supercontig_29.134, evm.model.supercontig_249.6		Carubv10005836m	Cucsa.395690.1, Cucsa.320680.1	orange1.1g034952m, orange1.1g024917m, orange1.1g047783m		Eucgr.F02260.1, Eucgr.E00451.1	Thhalv10026345m		Glyma.06G045500.1, Glyma.04G045000.1, Glyma.01G210800.1	Gorai.009G219000.1	Lus10004344, Lus10018695, Lus10007757	MDP0000121897, MDP0000021909, MDP0000197456, MDP0000137185	cassava4.1_017275m	Migut.N02773.1		Medtr3g103010.1		LOC_Os12g40130.1, LOC_Os12g39860.1, LOC_Os07g30150.1		Potri.001G121400.1, Potri.014G017200.1	Phvul.009G070900.1	30170.m013750	Sobic.008G147900.1	Si023070m	Solyc04g077970.2.1	406084	Spipo2G0097700	PGSC0003DMP400037321	Thecc1EG034718t1	Vocar20010698m	GSVIVT01009358001, GSVIVT01005518001	GRMZM2G131907_P01, GRMZM2G093347_P01
Athaliana|:|AT2G05990.1	Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9)	899393		evm_27.model.AmTr_v1.0_scaffold00022.190	Bradi1g37040.1	Ciclev10015082m	Cagra.2174s0002.1	evm.TU.contig_30861.1	Cre06.g294950.t1.1	Carubv10013900m	Cucsa.143000.1, Cucsa.153550.1	orange1.1g016242m	65820	Eucgr.B02592.1, Eucgr.A02448.1	Thhalv10002561m	mrna22616.1-v1.0-hybrid, mrna24430.1-v1.0-hybrid	Glyma.18G156100.1, Glyma.11G101400.1, Glyma.12G027300.1, Glyma.08G345900.1	Gorai.013G249200.1, Gorai.004G018400.1, Gorai.006G067500.1	Lus10012019, Lus10004186, Lus10021040, Lus10016274	MDP0000327231, MDP0000160972, MDP0000234133, MDP0000350866, MDP0000207724, MDP0000176923	cassava4.1_009220m, cassava4.1_009310m	Migut.K00038.1, Migut.D00546.1		Medtr7g053290.1, Medtr4g074950.1	32790	LOC_Os08g23810.1, LOC_Os09g10600.1	Phpat.009G045600.1, Phpat.015G046200.1	Potri.016G046700.1, Potri.001G013500.1, Potri.T111000.1, Potri.003G212700.1	Phvul.008G134300.1, Phvul.011G030400.1	27843.m000160, 29650.m000277	Sobic.007G112100.1, Sobic.002G151000.1	Si030207m, Si013951m	Solyc01g006450.2.1, Solyc10g078740.1.1	148643	Spipo10G0020200, Spipo0G0076600	PGSC0003DMP400020262, PGSC0003DMP400055320	Thecc1EG024898t2, Thecc1EG040401t1	Vocar20009230m	GSVIVT01033509001, GSVIVT01025358001	GRMZM2G070422_P02, GRMZM2G125052_P01, GRMZM2G079256_P01
Athaliana|:|AT2G24270.4	Non-phosphorylating glyceraldehyde-3-phosphate dehydrogenase (NADP) (EC 1.2.1.9)	481283		evm_27.model.AmTr_v1.0_scaffold00065.146	Bradi3g36930.2	Ciclev10008100m, Ciclev10008091m	Cagra.4091s0031.1	evm.model.supercontig_46.131	Cre12.g556600.t1.2	Carubv10024925m	Cucsa.132820.1	orange1.1g010963m, orange1.1g011080m	52649	Eucgr.C01947.1, Eucgr.C02594.1	Thhalv10000267m	mrna10060.1-v1.0-hybrid	Glyma.17G218200.1, Glyma.17G075300.1, Glyma.02G202500.1	Gorai.009G055100.1, Gorai.009G061700.1, Gorai.001G031700.1	Lus10003640, Lus10036288	MDP0000606021, MDP0000624696, MDP0000152497	cassava4.1_006181m, cassava4.1_006183m	Migut.J01334.1		Medtr1g014320.1, Medtr4g131180.1	12614	LOC_Os08g34210.1	Phpat.024G037300.1, Phpat.017G000300.1, Phpat.024G024600.1, Phpat.023G023600.1, Phpat.020G057400.1	Potri.018G020600.1, Potri.006G186800.1, Potri.018G109700.1	Phvul.003G157200.1, Phvul.001G045700.1	27519.m000110, 30110.m000729, 29737.m001211, 29848.m004549	Sobic.007G140700.1	Si013613m	Solyc07g005390.2.1	232458, 79174, 77620, 270375, 80113, 75347	Spipo12G0044000	PGSC0003DMP400019654	Thecc1EG037078t1, Thecc1EG036920t1	Vocar20009917m	GSVIVT01023590001, GSVIVT01035891001	GRMZM2G035268_P01
Athaliana|:|AT3G27240.1	ubiquinol cytochrome C oxidoreductase, cytochrome C1 subunit	484506					Cagra.5650s0018.1		Cre15.g638500.t1.2	Carubv10017977m					Thhalv10004628m		Glyma.19G084900.1					Migut.D01049.1		Medtr6g023230.1	28125					29841.m002789		Si002520m	Solyc02g093900.2.1			PGSC0003DMP400035115				
Athaliana|:|AT5G40810.1	ubiquinol cytochrome C oxidoreductase, cytochrome C1 subunit	916147		evm_27.model.AmTr_v1.0_scaffold00067.223	Bradi3g42710.1	Ciclev10026079m, Ciclev10023388m	Cagra.10745s0004.1	evm.model.supercontig_130.13		Carubv10005318m	Cucsa.260220.1	orange1.1g042592m	64948	Eucgr.J02305.1, Eucgr.J02306.1, Eucgr.I01668.1	Thhalv10027856m	mrna26387.1-v1.0-hybrid	Glyma.19G076400.1, Glyma.16G062100.1, Glyma.05G074400.1	Gorai.011G092500.1, Gorai.006G039700.1, Gorai.006G100700.1	Lus10022328, Lus10041577, Lus10022327, Lus10041579	MDP0000237690, MDP0000262186	cassava4.1_012350m, cassava4.1_012369m	Migut.K01443.1, Migut.H00016.1		Medtr6g023290.1		LOC_Os05g23620.1, LOC_Os01g70960.1	Phpat.007G066200.1, Phpat.011G039400.1, Phpat.011G039100.1	Potri.009G165000.1, Potri.004G203800.1	Phvul.008G150200.1, Phvul.004G056300.1	30190.m010975	Sobic.007G171500.1	Si014143m	Solyc12g042920.1.1, Solyc06g067920.2.1	177642	Spipo1G0009200	PGSC0003DMP400049649, PGSC0003DMP400049899	Thecc1EG028363t1, Thecc1EG017100t2	Vocar20006008m	GSVIVT01001830001, GSVIVT01017236001	GRMZM2G032367_P01, GRMZM2G158479_P03
